mu_0	sigma_0	logL
-4.86770440843841534218e+00	2.10000080969830749122e-01       -2.728883e+04
4.22683482706963875586e+00	2.01510109580239793470e-01       -2.338779e+04
4.68100439389178291094e+00	2.25213534905745027537e-01       -2.274649e+04
4.52833251365896050089e+00	2.18654020110266689159e-01       -2.264862e+04
4.53686806096671180200e+00	2.24547358951930231541e-01       -2.155235e+04
4.41538240933372261310e+00	2.20940307960716619817e-01       -2.113782e+04
4.97577761918400351959e+00	2.49989832527017508124e-01       -2.075775e+04
4.17653103805294279027e+00	2.20526739211124866991e-01       -1.908698e+04
-4.81306593812448646474e+00	2.58292076806276527101e-01       -1.764447e+04
-4.68503254567709692680e+00	2.64043003231089867811e-01       -1.602003e+04
-3.48672207627549290976e+00	2.00879612963446030349e-01       -1.567051e+04
4.81145243560811852745e+00	2.81762514567762689666e-01       -1.532080e+04
4.26246133440487806610e+00	2.53643609765226818453e-01       -1.499682e+04
-3.50367757703650584133e+00	2.07134404597594024011e-01       -1.487388e+04
-4.43694286219549383077e+00	2.62272017637423360270e-01       -1.460692e+04
-4.34950300694140246094e+00	2.60463220457215816062e-01       -1.424949e+04
-4.66881245354006146897e+00	2.79276995009606121556e-01       -1.422481e+04
-4.23879729805371141538e+00	2.55910531746813108001e-01       -1.404187e+04
-3.82367912388926090017e+00	2.35529005698775661948e-01       -1.359129e+04
3.47786912554078053716e+00	2.20343804563896961124e-01       -1.355178e+04
-3.95071255204374427450e+00	2.44721572708996415457e-01       -1.340511e+04
-4.17849990644181978894e+00	2.58744933650223440935e-01       -1.336072e+04
-4.92845233302078344906e+00	3.08515115341666756876e-01       -1.295761e+04
-3.15403356992349381827e+00	2.04502307253876414173e-01       -1.251115e+04
-4.95473575776599250986e+00	3.16514789735488411004e-01       -1.244073e+04
3.90922506650424850250e+00	2.57577567732121259780e-01       -1.234501e+04
-4.74175231470086000485e+00	3.04662749434282065231e-01       -1.232254e+04
-3.32199926947969625957e+00	2.17519013554840601188e-01       -1.219179e+04
-3.91768537665222726929e+00	2.55229868572014184647e-01       -1.212690e+04
4.90965808616445453794e+00	3.23113904567237431031e-01       -1.211674e+04
4.05142832423383048024e+00	2.69834804942855499554e-01       -1.203516e+04
