# mu_0 sigma_0 logL logPrior
3.058182352929433634e+00 2.807869182148691745e-01 -6.585127858590117285e+03 -2.201458073411502347e+00
3.062032067885554820e+00 2.814403337539559402e-01 -6.569729551508922668e+03 -2.203782456767114262e+00
-3.444936406417343555e+00 3.068948761048191920e-01 -6.565147390638599973e+03 -2.290367255734643059e+00
4.167511631489809965e+00 3.771071993878964967e-01 -6.515166911614459423e+03 -2.496391485436609159e+00
3.617745464229799701e+00 3.319433225171078417e-01 -6.434715531269378516e+03 -2.368826228932019884e+00
3.356040175938981740e+00 3.095699543649588770e-01 -6.430699119699749644e+03 -2.299046080280398474e+00
2.899281560197022323e+00 2.735225242567463355e-01 -6.297379779401607266e+03 -2.175245963970499297e+00
4.217522842655877291e+00 3.885229999393551292e-01 -6.280855971160282934e+03 -2.526214359857405611e+00
2.152004077228783174e+00 2.114516523889693467e-01 -6.246550825202022679e+03 -1.917858368348145826e+00
-2.318137411416064886e+00 2.216904734078180006e-01 -6.061193181243341314e+03 -1.965144134952129251e+00
3.709365786574138735e+00 3.515842753049470693e-01 -6.014216079561164406e+03 -2.426311431458868739e+00
-3.635347167975389482e+00 3.404646415160352824e-01 -5.914521013939138356e+03 -2.394173267265464755e+00
3.801216711238813772e+00 3.683606497571606520e-01 -5.739415210389354797e+03 -2.472924474669460970e+00
4.364228155290357236e+00 4.202363954691714643e-01 -5.736001636611699723e+03 -2.604679389192949834e+00
3.761539692997852402e+00 3.677727820916825152e-01 -5.645505541061241274e+03 -2.471327297405085499e+00
3.931368722621411571e+00 3.842959974510965493e-01 -5.621264239643236579e+03 -2.515275072247938226e+00
-3.497861097150066101e+00 3.407737250196932188e-01 -5.486494577080729869e+03 -2.395080683935016275e+00
-2.118439344982375516e+00 2.170039776370846218e-01 -5.403077406569121194e+03 -1.943777673396243522e+00
-4.670187321202474706e+00 4.570648525899901893e-01 -5.340773966587554241e+03 -2.688687280112271871e+00
4.923791515719244671e+00 4.913797423467068937e-01 -5.298150565272007043e+03 -2.761079224770619955e+00
-4.583147823808449317e+00 4.518090976380866319e-01 -5.268764451308645221e+03 -2.677121730157947077e+00
-2.362832524885221552e+00 2.444617717507485688e-01 -5.155890617763554474e+03 -2.062920933831850157e+00
2.516462506483710726e+00 2.701686341562523630e-01 -5.012510034925367108e+03 -2.162908324883161981e+00
1.763832303798040124e+00 2.021656307405407804e-01 -4.936229646399177000e+03 -1.872949305482494831e+00
2.919583353257809044e+00 3.125598993412403992e-01 -4.888404040936207821e+03 -2.308658118599530074e+00
-4.825289797018806226e+00 4.955025869111915338e-01 -4.851726194962655427e+03 -2.769434564465049320e+00
-4.402899635680963542e+00 4.535525055362530367e-01 -4.838752029614344792e+03 -2.680973031222584346e+00
3.400811969578578786e+00 3.623412452038023424e-01 -4.819478512875539309e+03 -2.456448424002723563e+00
4.346934047721163097e+00 4.573140555620057723e-01 -4.816495973329735534e+03 -2.689232356067029706e+00
-4.092772654912058883e+00 4.257295194546256711e-01 -4.764052849883020826e+03 -2.617666203656690005e+00
3.540982684183118234e+00 3.794967547227842686e-01 -4.739208851324813622e+03 -2.502708035242971363e+00
2.945094106911702259e+00 3.207261934441962836e-01 -4.717737862746351311e+03 -2.334449769109981254e+00
-4.601127850456561141e+00 4.804338893399562327e-01 -4.702661327844090010e+03 -2.738551621621586385e+00
1.753379551543211790e+00 2.073135455511639913e-01 -4.649529214118126220e+03 -1.898094349951559678e+00
-4.759114028546129305e+00 5.009731071300027594e-01 -4.622645774766658178e+03 -2.780414411159865651e+00
4.673987490054619443e+00 5.025904191231642670e-01 -4.588929805329236842e+03 -2.783637552198756637e+00
3.429729392624142559e+00 3.768192781586995332e-01 -4.529836614008824654e+03 -2.495627694133958574e+00
3.103304180932091150e+00 3.454918865369130954e-01 -4.476363637590111466e+03 -2.408831149580340281e+00
4.335905241142922861e+00 4.742838040988317516e-01 -4.461111056676279077e+03 -2.725667875243612315e+00
-2.847070419825706633e+00 3.115180601196959609e-01 -4.459743439771817066e+03 -2.305319304358165233e+00
-3.700275401832756828e+00 3.998515993658829926e-01 -4.447100764301076197e+03 -2.554955466583539447e+00
-2.495099283515443744e+00 2.765685968476745416e-01 -4.442774931031670349e+03 -2.186320869957159907e+00
2.146237176116512657e+00 2.513746574441907411e-01 -4.398711955047142510e+03 -2.090806475262620534e+00
-3.307808134122719235e+00 3.631542601550377114e-01 -4.351145717929482089e+03 -2.458689692999055154e+00
3.750024974519756249e+00 4.195287086484775774e-01 -4.324931594999172376e+03 -2.602993948860286455e+00
2.237936230545063410e+00 2.627726569266565226e-01 -4.322512941046525157e+03 -2.135151225916194662e+00
3.712281629905812785e+00 4.180358375447332242e-01 -4.274005503280010998e+03 -2.599429154501571748e+00
-3.209380002151908329e+00 3.606348063356383804e-01 -4.168107687393467131e+03 -2.451727819403438424e+00
3.599411757046457438e+00 4.118204294757951134e-01 -4.156292559026370327e+03 -2.584449393451023980e+00
-1.739191564359504838e+00 2.099041729174054294e-01 -4.150989860006341587e+03 -1.910513097030107188e+00
2.831734718230412895e+00 3.305522646934990760e-01 -4.139208352705913057e+03 -2.364626774943840104e+00
-3.200905034057051068e+00 3.647205015182766186e-01 -4.055990996290932344e+03 -2.462993300880734981e+00
-2.337312694969282845e+00 2.804122655555898458e-01 -3.845643641960618424e+03 -2.200122887168284080e+00
-2.914851953956264730e+00 3.452824879240763423e-01 -3.797304548803890157e+03 -2.408224877468946090e+00
2.641359339988773591e+00 3.247251206149018299e-01 -3.786468261011811137e+03 -2.346841031629311125e+00
2.605375203345043467e+00 3.212319992668453139e-01 -3.775709953411159404e+03 -2.336025591127866008e+00
4.798417665192836523e+00 5.700962830496959510e-01 -3.767167816120712359e+03 -2.909667254093629474e+00
-3.542769580906819371e+00 4.207862741471982693e-01 -3.702259783643487935e+03 -2.605987032318983765e+00
1.946041488175354495e+00 2.531598975056573719e-01 -3.684884814649051805e+03 -2.097883284946046700e+00
-3.590876880543223848e+00 4.280247648909147884e-01 -3.672556314008480513e+03 -2.623043045701487497e+00
2.124980812337962099e+00 2.734521862182974772e-01 -3.656489740144764255e+03 -2.174988774606934516e+00
3.806144222261632404e+00 4.645232338644912917e-01 -3.638117603665338720e+03 -2.704873565985887574e+00
-3.973252570072979051e+00 4.777388709222235574e-01 -3.587063998622483268e+03 -2.732926277975070484e+00
-2.137791908214193626e+00 2.698146022501039520e-01 -3.550739197330915886e+03 -2.161597054706582810e+00
3.313907152952471513e+00 4.151258699744140857e-01 -3.511686644170894851e+03 -2.592443765286335911e+00
-2.926591300297975540e+00 3.605609544133953070e-01 -3.511439776252677802e+03 -2.451523015308571196e+00
-4.206708777104156916e+00 5.153532243817391389e-01 -3.448543935708539266e+03 -2.808714528045494596e+00
-3.730756721733526682e+00 4.609556004334616208e-01 -3.413219853056978536e+03 -2.697163716833208991e+00
4.302095515507407875e+00 5.425632992282152234e-01 -3.376385619461738315e+03 -2.860166749111932027e+00
2.893553103832432249e+00 3.741798882804445725e-01 -3.366741300028598744e+03 -2.488598656384501506e+00
2.071779459161444237e+00 2.797774652553022268e-01 -3.348191677575823178e+03 -2.197856510128177288e+00
-3.002470069164945965e+00 3.784285556686556307e-01 -3.346468524910158976e+03 -2.499889288470038551e+00
-2.955565561783859430e+00 3.732759384884936082e-01 -3.339379111564956020e+03 -2.486179917509840465e+00
-3.780845433792511034e+00 4.740356358221329280e-01 -3.313837796265293036e+03 -2.725144489827439287e+00
-3.574366695610378564e+00 4.499997311099772634e-01 -3.299432718086873592e+03 -2.673108975129767639e+00
-1.922234524070789430e+00 2.563508744598280154e-01 -3.280298904305926044e+03 -2.110409099317815951e+00
-4.612701334450616919e+00 5.821212665771274830e-01 -3.243918461061555263e+03 -2.930540777742464353e+00
-2.151943088362535672e+00 2.869494702054364854e-01 -3.177120730927808836e+03 -2.223168128155888823e+00
2.654703383311596721e+00 3.570048815987140189e-01 -3.166773126468515329e+03 -2.441611445531093771e+00
4.335762585280410697e+00 5.662772539405506178e-01 -3.152099292101270748e+03 -2.902945796117307964e+00
-3.321934905538957317e+00 4.296994976711974168e-01 -3.147008079341338089e+03 -2.626948111657116502e+00
-2.606264122996797550e+00 3.426934192210016050e-01 -3.139856619764590505e+03 -2.400698215855151751e+00
1.311482540111000183e+00 2.038531444070212362e-01 -3.135745491876081815e+03 -1.881261844147156248e+00
2.060042218752558441e+00 2.878840063750283118e-01 -3.133325255576645304e+03 -2.226419633264810294e+00
-1.805696092041311429e+00 2.495011714986316298e-01 -3.121431219547918317e+03 -2.083325600464811966e+00
1.781182118270379533e+00 2.572129409045544324e-01 -3.095138753435347098e+03 -2.113766295555614683e+00
-3.626200191090502400e+00 4.728393384030991076e-01 -3.076980486789314000e+03 -2.722617655581911045e+00
2.433105303901852423e+00 3.352465723489885252e-01 -3.076642112926413574e+03 -2.378728287844394718e+00
3.932053018751823004e+00 5.220011204160419638e-01 -3.076562310030711615e+03 -2.821531724170184940e+00
2.683731411471272921e+00 3.659847461599349261e-01 -3.073967192462270305e+03 -2.466453645273166018e+00
-2.956666994543624583e+00 3.895891374020672981e-01 -3.071423074590942633e+03 -2.528954679867119637e+00
-4.838812398799905878e+00 6.305435065091953284e-01 -3.044796956940965629e+03 -3.010444146109998442e+00
-4.813959811583171877e+00 6.281667872334946168e-01 -3.037018919152458238e+03 -3.006667705872483332e+00
1.450885315421825306e+00 2.240276242699450471e-01 -2.989419457523443270e+03 -1.975631356784076864e+00
2.298974780202173829e+00 3.271152346790222043e-01 -2.928150747427887381e+03 -2.354174498348089450e+00
-4.300736523304482972e+00 5.756796832954704790e-01 -2.899324851023740393e+03 -2.919413390521095941e+00
1.377382163115232316e+00 2.201715643946488277e-01 -2.874655694323535045e+03 -1.958269070493038111e+00
-3.302502897998924603e+00 4.476093705752872132e-01 -2.873150881940674935e+03 -2.667782901272394813e+00
2.613486558044064711e+00 3.714602769928536108e-01 -2.848301571521458300e+03 -2.481303922344776147e+00
-3.783718739856257507e+00 5.126747914077169899e-01 -2.847575447969546985e+03 -2.803503699170314167e+00
2.979982415497453907e+00 4.194209371327859426e-01 -2.836029062306133710e+03 -2.602737028753516313e+00
2.740516983887600677e+00 3.899721089073857616e-01 -2.815570049613450010e+03 -2.529937210843204998e+00
1.538465989743348583e+00 2.427495682132731203e-01 -2.773847954234470308e+03 -2.055892318338737201e+00
3.821830159841039798e+00 5.359953272554484061e-01 -2.771709035602641961e+03 -2.847987433124766987e+00
2.998817398470469797e+00 4.279862221349003404e-01 -2.757034366549654806e+03 -2.622952993689013912e+00
-1.767923274810191403e+00 2.618387792847171602e-01 -2.738545821571358374e+03 -2.131590958015322279e+00
-4.377464419022119912e+00 6.034936729882049988e-01 -2.736796017425697755e+03 -2.966597546517808492e+00
-4.826381798097266973e+00 6.668130099297518987e-01 -2.719620404002811938e+03 -3.066371651577695978e+00
-3.500101842334026436e+00 4.874799992252164538e-01 -2.712108276527468206e+03 -2.753111252264901498e+00
-3.275274408782600233e+00 4.578947201863949878e-01 -2.706134748783742907e+03 -2.690501279000659274e+00
-3.634054257251218001e+00 5.086943968857970955e-01 -2.679021205747580552e+03 -2.795709427092218924e+00
-4.705008528227783593e+00 6.561204911933239403e-01 -2.672481681319314248e+03 -3.050206437576335361e+00
-4.923207644112178372e+00 6.869326278312346545e-01 -2.667759568764910000e+03 -3.096098210108968463e+00
-2.461366549716007324e+00 3.540777849485319262e-01 -2.655437529377983992e+03 -2.433378610388338359e+00
4.976354464879086947e+00 7.094059010150993716e-01 -2.641658611898869367e+03 -3.128289850522326443e+00
3.729311354934491618e+00 5.377906973247081890e-01 -2.631664242564816504e+03 -2.851331435935755998e+00
4.092752434434807185e+00 5.889164836371474365e-01 -2.622790710707180551e+03 -2.942146370011586409e+00
4.999551348944016205e+00 7.206198508578105510e-01 -2.585893750061788523e+03 -3.143973735512975765e+00
-1.327856108361082033e+00 2.176255090329560771e-01 -2.564836566187620974e+03 -1.946637727021715447e+00
-3.573482161976631488e+00 5.119645950995219685e-01 -2.563530233169495204e+03 -2.802117462351241262e+00
-4.886233367587570875e+00 6.995359817467469155e-01 -2.539509010382629640e+03 -3.114279221919213470e+00
-3.102234008653789399e+00 4.510338627629948971e-01 -2.519437506756425591e+03 -2.675404410314696779e+00
4.085055598512470354e+00 6.044970325308715031e-01 -2.485224732492537441e+03 -2.968258750977117000e+00
3.819269493687381445e+00 5.689381710475835963e-01 -2.466255221565219927e+03 -2.907633755638821871e+00
2.172218950340262023e+00 3.415085189540063570e-01 -2.441730541745153459e+03 -2.397234614291222421e+00
1.583361683831171707e+00 2.651737070967550847e-01 -2.427638820734179717e+03 -2.144247099618218577e+00
3.240754459986183722e+00 4.919046546714702650e-01 -2.418782490454541403e+03 -2.762146896293159237e+00
-1.437188159157592793e+00 2.374190015056111824e-01 -2.414160375239174300e+03 -2.033688508911984272e+00
-3.453286719316267295e+00 5.127332341579126096e-01 -2.397334376516741486e+03 -2.803617688428837074e+00
-4.323669244860592897e+00 6.411596979534720520e-01 -2.379069610800137070e+03 -3.027140554562691932e+00
2.953782206001559274e+00 4.552923236268983098e-01 -2.377687832915845775e+03 -2.684801672064400790e+00
1.259649485561833204e+00 2.292081376676498583e-01 -2.347138574254766354e+03 -1.998492478767431857e+00
4.709574175232853044e+00 7.210170955652517311e-01 -2.310074293664204106e+03 -3.144524837811624174e+00
3.991680627407768966e+00 6.140885011438519392e-01 -2.310041368617724402e+03 -2.984001046329895601e+00
-2.383464282966376135e+00 3.693697979578978163e-01 -2.307422661829050867e+03 -2.475660294597442856e+00
1.751587894483935592e+00 2.945915021778555687e-01 -2.301020154042352260e+03 -2.249451648222444256e+00
-3.171390380365647133e+00 4.865021159772280335e-01 -2.265210733493976932e+03 -2.751103240903495895e+00
3.371654155272634235e+00 5.297201875223613854e-01 -2.252218421193911126e+03 -2.836210908960462351e+00
2.910861865354002376e+00 4.624881719487052845e-01 -2.246580544976821329e+03 -2.700482972359458778e+00
1.265221055784403248e+00 2.350401262477517239e-01 -2.245051645577490035e+03 -2.023618239457436019e+00
1.510388943617909874e+00 2.676060975201828285e-01 -2.222042167632575001e+03 -2.153378103843303304e+00
-2.642094171714626683e+00 4.139172501369035584e-01 -2.220375391314256376e+03 -2.589528064849462297e+00
4.697806669505647292e+00 7.370507044734359026e-01 -2.205129795069338797e+03 -3.166518678193214420e+00
3.454697097385825089e+00 5.492142008985049229e-01 -2.195871021318511339e+03 -2.872350520884748626e+00
2.667440610070745954e+00 4.321555122398879623e-01 -2.195158835541594726e+03 -2.632647495401864823e+00
2.789376399836897669e+00 4.510223991978372093e-01 -2.186302325685443975e+03 -2.675378993795479943e+00
-3.005443612845856816e+00 4.715345618080962753e-01 -2.179477722212497156e+03 -2.719854391105958058e+00
-4.090813006435476851e+00 6.362980709733556672e-01 -2.174481563976843063e+03 -3.019529108502368775e+00
-2.138831935619963875e+00 3.461603389931970365e-01 -2.168611498606983332e+03 -2.410764065111385079e+00
9.479738424166757049e-01 2.014061739182578248e-01 -2.163391301222927268e+03 -1.869185624719816863e+00
-4.727372689166072561e+00 7.398050158496789486e-01 -2.143796668718179717e+03 -3.170248649282010334e+00
-3.449958205809757317e+00 5.466687177109050833e-01 -2.114563790251490900e+03 -2.867704973952252878e+00
-2.970674241391784598e+00 4.749304599583258901e-01 -2.103954492570189359e+03 -2.727030383128332236e+00
4.854060059866874610e+00 7.875497127795891839e-01 -2.067010193049188729e+03 -3.232788485945467194e+00
-1.394104087020769933e+00 2.509896960704152136e-01 -2.066264967351796258e+03 -2.089273876675822095e+00
2.511642487129219781e+00 4.226070864674261185e-01 -2.063369136442760919e+03 -2.610304863675363407e+00
-4.353955673530553128e+00 7.034813732612947845e-01 -2.019826171722779009e+03 -3.119903388862360849e+00
-2.286707228461519303e+00 3.819827320331543596e-01 -2.008312969358674081e+03 -2.509237393382113712e+00
-3.463668752340938184e+00 5.642092617886863559e-01 -2.004926223147793735e+03 -2.899287204122066974e+00
-1.660027510009206786e+00 2.911335019709806460e-01 -2.004790234802412215e+03 -2.237643921527558533e+00
4.851417103523736785e+00 8.039298484052974647e-01 -1.986437709071378322e+03 -3.253374002043904589e+00
-1.217582926024507461e+00 2.331284919857743720e-01 -1.984305456761996538e+03 -2.015451759212310456e+00
2.585104166933577474e+00 4.439909262583625060e-01 -1.971387169212568779e+03 -2.659666115767325145e+00
-4.158298875063552558e+00 6.809314065012055384e-01 -1.970889676373643624e+03 -3.087323566307573763e+00
2.301043961515661707e+00 4.016105393249447264e-01 -1.959445775218606514e+03 -2.559344801271139502e+00
-1.972014394416715666e+00 3.397132437539955863e-01 -1.959236869956750070e+03 -2.391963850923135126e+00
-2.173219925034959754e+00 3.702847567557728814e-01 -1.953226888124568859e+03 -2.478134312390563476e+00
4.478847488269684263e+00 7.530542987080398598e-01 -1.938373288286430125e+03 -3.187999324937103474e+00
3.840856861107858400e+00 6.496539778530028286e-01 -1.932830593308676725e+03 -3.040301869279852909e+00
-2.119476028372103915e+00 3.649048160602094137e-01 -1.925042886583849622e+03 -2.463498531555748272e+00
2.469476162046365886e+00 4.344806962161639752e-01 -1.898659456704351669e+03 -2.638013506036727129e+00
-2.975166116402842675e+00 5.017468851338636737e-01 -1.897605277618526770e+03 -2.781957769551884674e+00
4.119818611453387014e+00 7.068976453806445903e-01 -1.873004123102578205e+03 -3.124747872161631967e+00
-2.412501698692539609e+00 4.156379215686979434e-01 -1.872092265984888854e+03 -2.593676490314411609e+00
-3.535796315573943804e+00 5.970948282711732169e-01 -1.869505169598043722e+03 -2.955937932002867363e+00
-3.706473642596268103e+00 6.256142726177945645e-01 -1.867306541871710124e+03 -3.002595993156580434e+00
3.724188438495559694e+00 6.433850185131175792e-01 -1.860980870360059043e+03 -3.030605319560424782e+00
1.478758633438460368e+00 2.884702049185809969e-01 -1.855798888721073126e+03 -2.228453794668328491e+00
-2.171602563792880858e+00 3.829938195862838124e-01 -1.826286398193200966e+03 -2.511880842098976441e+00
4.211885980979237942e+00 7.332056941196045674e-01 -1.820743628810421797e+03 -3.161288271954932227e+00
-2.276670655388000952e+00 4.016601361753504573e-01 -1.807028311097367805e+03 -2.559468288538835345e+00
-2.555670892240064163e+00 4.463362904461570801e-01 -1.806648352745940883e+03 -2.664934672246212166e+00
-9.469842815676834391e-01 2.109990026084824777e-01 -1.791567286350684299e+03 -1.915715396389842340e+00
-2.867482122670451439e+00 4.994284261509424061e-01 -1.790253496470840673e+03 -2.777326286731334193e+00
-2.054334569504433716e+00 3.722302055624945316e-01 -1.755489158690446857e+03 -2.483374484931693438e+00
-3.963679478971632975e+00 6.935750123707618009e-01 -1.740834713621237825e+03 -3.105721388722633591e+00
-3.378158958354609442e+00 5.955213725574132200e-01 -1.727098496986816372e+03 -2.953299268155093138e+00
9.217293534299557667e-01 2.225376307419282274e-01 -1.717919828231652218e+03 -1.968958204134927170e+00
1.024813916363064958e+00 2.370003747592110965e-01 -1.700248827801275866e+03 -2.031923712295339968e+00
-8.909554261048966417e-01 2.102702456643641415e-01 -1.692890459214496104e+03 -1.912255577406794638e+00
4.622941708894807711e+00 8.382831084584229098e-01 -1.681407898657840633e+03 -3.295217871582428515e+00
3.383902505229954727e+00 6.198110363693174474e-01 -1.679323321186250496e+03 -2.993276641433735286e+00
1.842863923543152094e+00 3.611113233982683468e-01 -1.670276182631047732e+03 -2.453048275758483499e+00
3.304511120380153599e+00 6.107464526852465214e-01 -1.654692629924880293e+03 -2.978543891891002104e+00
-1.833213246316963474e+00 3.481948016079798869e-01 -1.653557982890030871e+03 -2.416624087793579623e+00
1.708576386443540596e+00 3.421365490445533730e-01 -1.647962885829271727e+03 -2.399071913488169727e+00
-2.035793315426310812e+00 3.820646890917113181e-01 -1.643083377435829334e+03 -2.509451927340622390e+00
-3.780271173304786458e+00 6.831343747072775585e-01 -1.640685054815041212e+03 -3.090553572003348570e+00
4.414016527595692629e+00 8.119588460553461839e-01 -1.639615051006838030e+03 -3.263311646578407110e+00
3.181485401461019435e+00 5.930063258369719925e-01 -1.634739695341913603e+03 -2.949067056355765715e+00
4.898864823268025859e+00 9.087061969013997542e-01 -1.610491551961009009e+03 -3.375883816100948120e+00
-2.431714403160343263e+00 4.533340066609128360e-01 -1.605288347486460907e+03 -2.680491165241274842e+00
3.458101423743483949e+00 6.528516828128243521e-01 -1.583460418706600876e+03 -3.045211961390533073e+00
-3.499067853440432252e+00 6.453457460707925364e-01 -1.583319815742090896e+03 -3.033648203496225992e+00
1.002446326390713960e+00 2.450995422954982406e-01 -1.550432378454081345e+03 -2.065526413011860463e+00
-2.627910256191845928e+00 4.960668355719670686e-01 -1.550144777322575464e+03 -2.770572656683072843e+00
2.684159803491342089e+00 5.207873635552222602e-01 -1.549455074520433755e+03 -2.819203816972120968e+00
3.343506649815500165e+00 6.409705867840715943e-01 -1.543016441813200800e+03 -3.026845559314512712e+00
-2.050730531223592390e+00 3.975289447070104454e-01 -1.540295128178370760e+03 -2.549129738215313523e+00
-1.422566293209064359e+00 2.962701569749931485e-01 -1.530763446464533217e+03 -2.255133720455579027e+00
-3.719438182442191376e+00 7.000028721158590983e-01 -1.521524359754345369e+03 -3.114946427956607700e+00
3.860767064455676412e+00 7.419314002752684933e-01 -1.520674517928258638e+03 -3.173118776333146318e+00
-3.636403645752496860e+00 6.852555909510993359e-01 -1.518837744519183843e+03 -3.093653884043248148e+00
-1.284247486286645090e+00 2.784465908347298901e-01 -1.496662689528643796e+03 -2.193088256493664900e+00
